,SIM,display_size,screen_to_body_ratio,OS
1023,Single,['5.5'],['67.7'],Android
1024,Single,['4.7'],['60.4'],Android
1025,Dual,['4.3'],['61.4'],Android
1026,Dual,['5.0'],['65.8'],Android
1027,Dual,['5.0'],['65.8'],Android
1028,Dual,['4.5'],['62.2'],Android
1029,Single,['4.3'],['61.4'],Android
1030,Single,['5.9'],['70.7'],Android
1031,Single,['4.3'],['60.3'],Android
1032,Single,['4.5'],['62.2'],Android
1033,Dual,['4.3'],['59.7'],Android
1034,Single,['4.3'],['61.1'],Android
1035,Single,['4.3'],['60.4'],Windows
1036,Single,['5.0'],['67.7'],Android
1037,Single,['3.5'],['55.7'],Android
1038,Dual,['4.5'],['61.8'],Android
1039,Single,['4.3'],['62.2'],Android
1040,Dual,['4.68'],['63.2'],Android
1041,Single,['4.7'],['65.0'],Android
1042,Dual,['4.0'],['61.7'],Android
1043,Dual,['4.3'],['61.5'],Android
1044,Single,['5.0'],['68.4'],Android
1045,Single,['5.0'],['69.3'],Android
1046,Single,['4.3'],['61.5'],Android
1047,Single,['4.3'],['61.5'],Android
1048,Dual,['4.3'],['59.8'],Android
1049,Single,['4.5'],['61.9'],Android
1050,Single,['4.7'],['64.8'],Android
1051,Single,['4.3'],['58.2'],Windows
1052,Single,['4.3'],['58.2'],Windows
1053,Single,['4.0'],['60.0'],Windows
1054,Single,['4.3'],['61.5'],Android
1055,Single,['4.3'],['61.5'],Android
1056,Dual,['4.0'],['61.7'],Android
1057,Single,['4.0'],['61.3'],Android
1058,Dual,['4.0'],['61.2'],Android
1059,Dual,['4.0'],['61.2'],Android
1060,Dual,['4.0'],['61.7'],Android
1061,Single,['3.5'],['56.1'],Android
1062,Single,['4.3'],['58.7'],Android
1063,Single,['4.0'],['59.3'],Android
1064,Single,['4.7'],['65.6'],Android
1065,Single,['4.7'],['65.5'],Android
1066,Single,['4.7'],['64.8'],Android
1067,Single,['4.7'],['64.6'],Android
1068,Single,['4.7'],['64.6'],Android
1069,Single,['4.3'],['59.9'],Android
1070,Single,['4.3'],['59.9'],Android
1071,Single,['4.5'],['64.7'],Android
1072,Single,['3.7'],['54.3'],Android
1073,Single,['4.5'],['64.7'],Android
1074,Single,['4.7'],['69.0'],Windows
1075,Single,['4.3'],['60.3'],Android
1076,Single,['4.5'],['64.6'],Android
1077,Single,['4.0'],['59.3'],Android
1078,Single,['4.7'],['67.1'],Android
1079,Single,['3.2'],['51.9'],Android
1080,Single,['4.3'],['59.8'],Android
1081,Single,['4.5'],['65.1'],Android
1082,Single,['3.7'],['53.9'],Android
1083,Single,['4.0'],['63.9'],Android
1084,Single,['3.7'],['53.9'],Android
1085,Single,['4.3'],['61.8'],Android
1086,Single,['10.1'],['66.2'],Android
1087,Single,['4.7'],['67.6'],Windows
1088,Single,['3.8'],['55.5'],Windows
1089,Single,['3.8'],['53.8'],Android
1090,Single,['2.6'],['27.2'],Android
1091,Single,['3.8'],['56.6'],Windows
1092,Single,['4.0'],['59.0'],Android
1093,Single,['4.3'],['61.8'],Android
1094,Single,['4.3'],['62.2'],Android
1095,Single,['4.3'],['61.8'],Android
1096,Single,['4.3'],['60.8'],Android
1097,Single,['4.3'],['63.4'],Windows
1098,Single,['3.8'],['55.0'],Android
1099,Single,['4.0'],['59.3'],Android
1100,Single,['3.7'],['56.7'],Android
1101,Single,['3.2'],['50.7'],Android
1102,Single,['3.4'],['53.6'],Android
1103,Single,['2.6'],['27.2'],Android
1104,Single,['7.0'],['57.8'],Android
1105,No,['7.0'],['57.8'],Android
1106,Single,['7.0'],['62.8'],Android
1107,Single,['4.3'],['62.9'],Android
1108,Single,['3.2'],['50.5'],
1109,Single,['4.3'],['65.4'],Android
1110,Single,['3.6'],['52.5'],Android
1111,Single,['3.2'],['50.9'],Android
1112,Single,['4.3'],['63.4'],Windows
1113,Single,['3.6'],['53.2'],Windows
1114,Single,['3.8'],['55.8'],Windows
1115,Single,['3.7'],['54.4'],Windows
1116,Single,['3.8'],['56.4'],Windows
1117,Single,['3.6'],['53.2'],Windows
1118,Single,['4.3'],['62.9'],Android
1119,Single,['3.7'],['54.2'],Android
1120,Single,['4.3'],['62.2'],Android
1121,Single,['3.2'],['50.9'],Android
1122,Single,['3.2'],['44.5'],Android
1123,Single,['3.2'],['49.2'],Android
1124,Single,['3.7'],['54.6'],Android
1125,Single,['3.2'],['50.9'],Windows
1126,Single,['3.2'],['48.4'],Android
1127,Single,['3.7'],['54.8'],Android
1128,Single,['2.8'],['42.4'],
1129,Single,['4.3'],['65.2'],Windows
1130,Single,['4.3'],['65.4'],Android
1131,Single,['3.7'],['56.7'],Android
1132,Single,['3.2'],['48.2'],Android
1133,Single,['3.2'],['50.9'],Windows
1134,Single,['2.8'],['41.5'],Android
1135,Single,['2.8'],['42.4'],Windows
1136,Single,['3.2'],['48.2'],Android
1137,Single,['3.2'],['48.4'],Android
1138,Single,['2.4'],['24.6'],Windows
1139,Single,['2.4'],['24.9'],Windows
1140,Single,['3.2'],['49.1'],Android
1141,Single,['3.6'],['53.7'],Windows
1142,Single,['3.6'],['53.9'],Windows
1143,Single,['3.6'],['53.7'],Windows
1144,Single,['3.6'],['50.6'],Windows
1145,Single,['3.2'],['50.9'],Windows
1146,Single,['3.2'],['46.5'],Android
1147,Single,['2.8'],['44.5'],Windows
1148,Single,['3.8'],['57.4'],Windows
1149,Single,['3.8'],['56.9'],Windows
1150,Single,['3.8'],['56.9'],Windows
1151,Single,['2.8'],['44.4'],Windows
1152,Single,['2.8'],['39.4'],Windows
1153,Single,['2.4'],['35.3'],Windows
1154,Single,['2.8'],['46.7'],Windows
1155,Single,['2.8'],['46.7'],Windows
1156,Single,['5.0'],['59.4'],Windows
1157,Single,['2.8'],['38.6'],Windows
1158,Single,['2.8'],['38.1'],Windows
1159,Single,['2.6'],['35.6'],Windows
1160,Single,['3.5'],['37.9'],Windows
1161,Single,['2.4'],['33.1'],Windows
1162,Single,['2.8'],['36.7'],Windows
1163,Single,['2.4'],['25.4'],Windows
1164,Single,['2.8'],['41.9'],Windows
1165,Single,['3.5'],['41.7'],Windows
1166,Single,['7.0'],['52.2'],Windows
1167,Single,['5.0'],['59.4'],Windows
1168,Single,['2.4'],['35.3'],Windows
1169,Single,['2.8'],['38.8'],Windows
1170,Single,['2.8'],['38.4'],Windows
1171,Single,['2.8'],['37.8'],Windows
1172,Single,['2.8'],['38.6'],Windows
1173,Single,['2.8'],['38.6'],Windows
1174,Single,['2.8'],['38.8'],Windows
