,GPS,NFC,audio_jack,battery,radio
667,No,,Yes,850.0,Yes
668,No,,Yes,560.0,Yes
669,Yes,,Yes,1450.0,Yes
670,No,,No,1000.0,Yes
671,No,,Yes,800.0,Yes
672,No,,Yes,800.0,Yes
673,Yes,,Yes,1200.0,Yes
674,No,,Yes,930.0,Yes
675,No,,Yes,800.0,Yes
676,No,,Yes,800.0,Yes
677,No,,No,700.0,Yes
678,No,,No,750.0,Yes
679,No,,Yes,850.0,Yes
680,No,,No,800.0,Yes
681,Yes,Yes,Yes,3100.0,Yes
682,Yes,Yes,Yes,3100.0,Yes
683,Yes,,Yes,3080.0,Yes
684,Yes,Yes,Yes,3080.0,Yes
685,Yes,,Yes,3050.0,Yes
686,Yes,Yes,Yes,3200.0,Yes
687,Yes,,Yes,2850.0,Yes
688,Yes,,Yes,2900.0,Yes
689,Yes,Yes,Yes,3120.0,Yes
690,Yes,Yes,Yes,3620.0,Yes
691,Yes,,Yes,2470.0,Yes
692,Yes,,Yes,7280.0,Yes
693,Yes,Yes,Yes,1800.0,No
694,Yes,,Yes,1460.0,No
695,Yes,,No,1150.0,No
696,Yes,Yes,Yes,3800.0,Yes
697,Yes,,Yes,3000.0,Yes
698,Yes,Yes,Yes,3000.0,Yes
699,No,,Yes,1000.0,Yes
700,Yes,,Yes,2000.0,Yes
701,Yes,Yes,Yes,2630.0,Yes
702,Yes,,Yes,2000.0,Yes
703,Yes,,Yes,1150.0,Yes
704,No,,Yes,1300.0,Yes
705,Yes,,Yes,1400.0,Yes
706,Yes,,Yes,1400.0,Yes
707,Yes,,Yes,1400.0,Yes
708,Yes,,Yes,2500.0,Yes
709,Yes,,Yes,2000.0,Yes
710,No,,Yes,1500.0,Yes
711,Yes,,Yes,2000.0,Yes
712,No,,Yes,1400.0,Yes
713,Yes,,Yes,2000.0,Yes
714,No,,Yes,2000.0,Yes
715,No,,Yes,2000.0,Yes
716,No,,Yes,1400.0,Yes
717,No,,Yes,1200.0,Yes
718,No,,Yes,2200.0,Yes
719,No,,Yes,1800.0,Yes
720,No,,Yes,1400.0,Yes
721,No,,Yes,1400.0,Yes
722,No,,Yes,1400.0,Yes
723,No,,Yes,2000.0,
724,No,,Yes,1500.0,
725,No,,Yes,1500.0,
726,No,,Yes,1500.0,
727,No,,,900.0,Yes
728,Yes,,Yes,2100.0,Yes
729,No,,Yes,1450.0,Yes
730,Yes,,,2100.0,Yes
731,No,,Yes,1200.0,Yes
732,No,,Yes,1200.0,Yes
733,No,,Yes,1800.0,Yes
734,No,,Yes,1500.0,Yes
735,No,,Yes,1000.0,Yes
736,No,,Yes,3000.0,Yes
737,No,,,1100.0,Yes
738,No,,,1100.0,No
739,Yes,,,2000.0,Yes
740,Yes,,,1800.0,Yes
741,Yes,,Yes,1300.0,Yes
742,No,,Yes,1450.0,Yes
743,No,,Yes,1300.0,Yes
744,No,,Yes,5000.0,No
745,Yes,,Yes,1500.0,Yes
746,Yes,,Yes,2000.0,Yes
747,No,,Yes,1200.0,Yes
