,SIM,display_size,screen_to_body_ratio,OS
3414,Single,10.1,74.9,Android 6.0
3415,Single,7.0,69.9,Android 5.1.1
3416,Single,5.1,72.1,Android 6.0
3417,Single,5.5,76.1,Android 6.0
3418,Single,5.5,76.1,Android 6.0
3419,Single,5.1,72.3,Android 6.0
3420,Dual,4.0,57.0,Android 5.1
3421,Single,1.2,22.5,Tizen
3422,Single,8.0,69.4,Android 5.1.1
3423,Dual,4.5,62.7,Android 5.1.1
3424,Dual,6.0,75.9,Android 5.1.1
3425,Dual,5.5,74.3,Android 5.1.1
3426,Dual,5.2,72.5,Android 5.1.1
3427,Dual,4.7,69.4,Android 5.1.1
3428,Single,5.0,68.2,Android 6.0
3429,Dual,5.0,68.2,Android 5.1.1
3430,Single,18.4,74.9,Android 5.1.1
3431,Dual,5.5,70.9,Android 5.1
3432,Dual,5.0,70.0,Android 5.1
3433,Dual,5.0,69.5,Tizen
3434,Dual,4.3,59.8,Android 4.4.4
3435,No,1.2,52.6,Tizen
3436,No,1.2,43.5,Tizen
3437,Single,1.2,40.2,Tizen
3438,Single,5.7,76.8,Android 5.1.1
3439,Single,5.7,75.9,Android 5.1.1
3440,Dual,5.7,76.8,Android 5.1.1
3441,Single,5.7,76.5,Android 5.1.1
3442,Single,5.7,75.6,Android 5.1.1
3443,Dual,5.7,76.5,Android 5.1.1
3444,Single,5.1,69.6,Android 5.1.1
3445,Single,4.3,66.7,Android 4.4.4
3446,Single,3.8,56.0,Android 5.1
3447,Single,9.7,72.7,Android 5.0.2
3448,Single,8.0,74.0,Android 5.0.2
3449,Dual,5.7,73.8,Android 5.1
3450,Single,5.7,73.8,Android 5.1.1
3451,Dual,4.0,59.6,Android 4.4.2
3452,Dual,5.5,69.6,Android 5.1
3453,Dual,5.0,67.5,Android 5.1
3454,No,10.1,68.9,Android 4.4.4
3455,Single,9.6,73.9,Android 5.1
3456,Dual,1.5,14.9,
3457,Dual,2.4,30.7,
3458,Single,2.4,24.6,
3459,Single,5.1,66.5,Android 5.0.2
3460,Single,7.0,61.3,Android 4.4
3461,Single,9.7,72.0,Android 5.0
3462,other,,,Other
3463,Single,8.0,69.0,Android 5.0
3464,Single,4.5,61.9,Android 4.4.4
3465,Single,5.1,72.0,Android 5.0.2
3466,Single,5.1,70.8,Android 5.0.2
3467,Single,5.1,71.7,Android 5.0.2
3468,Dual,5.1,70.9,Android
3469,Single,5.1,70.7,Android 5.0.2
3470,Dual,4.3,59.8,Android 4.4.4
3471,Dual,4.3,59.8,Android 4.4.4
3472,Dual,4.7,64.7,Android 5.1.1
3473,No,7.0,61.3,Android 4.4.4
3474,Dual,4.0,59.8,Tizen
3475,Dual,5.5,72.5,Android 4.4.4
3476,Single,5.5,72.5,Android 4.4.4
3477,Single,5.25,68.6,Android 4.4.4
3478,Dual,5.5,71.4,Android 4.4.4
3479,Dual,5.0,69.3,Android 4.4.4
3480,Dual,4.5,64.9,Android 4.4.4
3481,Dual,5.0,71.0,Android 4.4.4
3482,Single,5.0,71.0,Android 4.4.4
3483,Dual,4.5,65.5,Android 4.4.4
3484,Single,4.5,65.5,Android 4.4.4
